ID,Назва,Опис,URL,Категорія,Теги,Тип,Складність,Мова,Рекомендований
1,CS50: Вступ до комп'ютерних наук,"Найпопулярніший вступний курс з інформатики від Гарвардського університету. Охоплює C, Python, SQL, JavaScript та основи веброзробки. Доступний безкоштовно.",https://cs50.harvard.edu/x/,Програмування,"C, Python, SQL, JavaScript, для початківців",course,beginner,,Так
2,Python.org — Офіційна документація Python,"Офіційний сайт мови Python з повною документацією, туторіалами та довідником бібліотек. Незамінний ресурс для вивчення Python з нуля.",https://docs.python.org/3/tutorial/,Програмування,"Python, документація, туторіал",article,beginner,Python,Ні
3,Eloquent JavaScript,"Безкоштовна онлайн-книга про JavaScript та програмування загалом. Охоплює основи мови, DOM, Node.js та асинхронне програмування.",https://eloquentjavascript.net/,Програмування,"JavaScript, книга, безкоштовно",article,intermediate,JavaScript,Ні
4,The Odin Project,Безкоштовний відкритий навчальний план з веброзробки: від HTML/CSS до React та Node.js. Ідеально підходить для самостійного вивчення.,https://www.theodinproject.com/,Програмування,"HTML, CSS, JavaScript, React, Node.js, безкоштовно",platform,beginner,,Так
5,Алгоритми та структури даних — Visualgo,"Інтерактивна візуалізація алгоритмів сортування, обходу графів, дерев та інших структур даних. Чудово підходить для пояснення алгоритмів студентам.",https://visualgo.net/,Алгоритми,"візуалізація, сортування, графи, дерева",tool,intermediate,,Так
6,LeetCode — практика алгоритмів,Платформа для відпрацювання задач з алгоритмів та структур даних. Містить тисячі задач від простих до дуже складних із підтримкою багатьох мов програмування.,https://leetcode.com/,Алгоритми,"задачі, практика, інтерв'ю",platform,intermediate,,Ні
7,Introduction to Algorithms (CLRS) — MIT OpenCourseWare,"Легендарний курс MIT з аналізу алгоритмів на основі книги CLRS. Включає відеолекції, слайди та завдання.",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-fall-2011/,Алгоритми,"MIT, теорія, аналіз, відеолекції",course,advanced,,Ні
8,fast.ai — Практичне глибоке навчання,"Безкоштовний практичний курс з глибокого навчання для програмістів. Підхід top-down: спершу практика, потім теорія. Покриває PyTorch, трансформери, дифузійні моделі.",https://www.fast.ai/,Штучний інтелект,"PyTorch, глибоке навчання, нейронні мережі, безкоштовно",course,intermediate,Python,Так
9,Google Machine Learning Crash Course,"Безкоштовний прискорений курс з машинного навчання від Google. Охоплює основи ML, TensorFlow, нейронні мережі та реальні кейси.",https://developers.google.com/machine-learning/crash-course,Штучний інтелект,"ML, TensorFlow, Google, безкоштовно",course,beginner,Python,Так
10,3Blue1Brown — Нейронні мережі,"Серія відео з чудовою візуалізацією принципів роботи нейронних мереж, зворотного поширення помилки та градієнтного спуску. Найкраще пояснення математики ШІ.",https://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,Штучний інтелект,"відео, візуалізація, нейронні мережі, математика",video,intermediate,,Так
11,Hugging Face — Трансформери та NLP,"Провідна платформа для роботи з моделями NLP та генеративного ШІ. Тисячі відкритих моделей, датасетів та навчальних матеріалів. Документація для використання в проєктах.",https://huggingface.co/learn,Штучний інтелект,"NLP, трансформери, LLM, відкриті моделі",platform,advanced,Python,Ні
12,Kaggle Datasets,"Найбільша спільнота датасаєнтистів у світі. Тисячі наборів даних, змагання з машинного навчання та безкоштовні GPU для навчання. Ідеально для практичних проєктів.",https://www.kaggle.com/datasets,Набори даних,"датасети, змагання, GPU, безкоштовно",dataset,intermediate,,Так
13,UCI Machine Learning Repository,"Класичний репозиторій наборів даних для машинного навчання від Каліфорнійського університету. Містить сотні датасетів для класифікації, регресії та кластеризації.",https://archive.ics.uci.edu/,Набори даних,"ML, класичні датасети, класифікація",dataset,beginner,,Ні
14,Khan Academy Комп'ютерні науки,"Безкоштовні інтерактивні уроки з програмування, алгоритмів та криптографії. Ідеальний ресурс для учнів середньої школи та вчителів.",https://www.khanacademy.org/computing,Платформи навчання,"безкоштовно, школа, інтерактивно, криптографія",platform,beginner,,Ні
69,Solo — створення вебсайту,Solo — ШІ-конструктор вебсайтів без коду: опишіть ідею і отримайте готовий сайт.,https://soloist.ai/,Робота з ШІ,"вебсайт, ШІ, конструктор",tool,beginner,uk,Ні
15,Coursera — Спеціалізація з Deep Learning,"П'ятикурсна спеціалізація від Andrew Ng. Охоплює нейронні мережі, оптимізацію, CNN, RNN та проєктування систем ML. Один із найкращих структурованих курсів з ШІ.",https://www.coursera.org/specializations/deep-learning,Штучний інтелект,"Andrew Ng, CNN, RNN, сертифікат",course,intermediate,Python,Ні
16,Jupyter Notebook — Офіційна документація,"Інтерактивне середовище для написання коду, візуалізації даних та документування аналізу. Стандарт індустрії для датасаєнтистів та дослідників.",https://jupyter.org/documentation,Інструменти,"Python, аналіз даних, візуалізація",tool,beginner,Python,Ні
17,Google Colab,Безкоштовне хмарне середовище Jupyter від Google з підтримкою GPU та TPU. Ідеально для навчання ML без необхідності встановлення локального ПЗ.,https://colab.research.google.com/,Інструменти,"GPU, безкоштовно, хмара, Jupyter",tool,beginner,Python,Ні
18,Scratch — Програмування для дітей,"Візуальна мова програмування від MIT Media Lab для дітей від 8 років. Дозволяє створювати ігри, анімації та інтерактивні історії без написання коду.",https://scratch.mit.edu/,Інструменти,"діти, візуальне програмування, школа, MIT",tool,beginner,,Так
19,Комп'ютерна наука ігри,Колекція ігор з комп'ютерної науки на платформі itnauka.org — вчимося граючи.,https://itnauka.org/#games,Ігри,"ігри, інформатика, інтерактивність",tool,beginner,uk,Ні
20,Космічна подорож,Інтерактивна гра про космічну подорож — знайомство з основами програмування для молодших школярів.,https://info.ort.education/mouse/spaceadv/uk/,Ігри,"ігри, алгоритми, учні",tool,beginner,uk,Ні
